CustomerID,Age,Gender,AnnualIncome,SpendingScore,PurchaseFrequency
1,56,Male,58513,52,6
2,46,Female,46092,38,1
3,32,Male,31338,97,5
4,60,Female,20412,88,1
5,25,Male,27543,79,4
6,38,Male,53496,30,2
7,56,Female,80692,51,10
8,36,Male,109084,81,5
9,40,Female,112920,5,10
10,28,Male,64425,29,1
11,28,Female,58756,4,6
12,41,Male,38888,10,13
13,53,Female,55735,56,15
14,57,Male,67295,17,4
15,41,Female,103042,74,13
16,20,Male,105999,17,20
17,39,Female,37955,84,15
18,19,Female,57841,88,8
19,41,Female,90640,69,5
20,47,Male,85510,34,15
21,55,Female,54911,6,4
22,19,Male,79031,53,12
23,38,Female,108726,66,13
24,50,Male,27357,77,2
25,29,Female,52479,43,19
26,39,Male,81476,75,19
27,42,Male,64811,23,4
28,44,Female,56208,55,4
29,59,Male,40150,80,11
30,45,Male,91180,95,5
31,33,Female,63286,75,20
32,32,Male,88450,16,11
33,20,Male,41352,8,10
34,54,Male,75069,4,8
35,24,Female,34397,4,6
36,38,Male,61555,56,6
37,26,Female,66959,25,8
38,56,Male,20728,67,15
39,35,Male,70517,96,14
40,21,Male,86234,67,11
41,42,Female,59954,27,12
42,31,Male,67280,93,13
43,26,Male,99459,32,8
44,43,Female,36779,50,18
45,19,Male,83932,61,1
46,37,Female,92936,51,15
47,45,Female,44466,19,8
48,24,Male,56939,21,11
49,25,Female,89896,5,12
50,52,Male,55270,82,12
51,31,Female,79163,92,4
52,34,Female,102637,42,16
53,53,Male,71934,61,4
54,57,Female,84895,22,5
55,21,Female,52307,21,5
56,19,Female,74098,70,8
57,23,Female,80921,1,10
58,59,Female,25486,5,17
59,21,Male,28335,12,9
60,46,Female,106900,90,19
61,35,Male,109112,46,14
62,43,Female,117203,34,8
63,51,Male,31130,49,9
64,27,Male,107508,78,11
65,53,Female,80566,90,1
66,31,Female,86703,45,14
67,48,Female,47192,27,5
68,32,Male,21062,73,14
69,25,Female,104076,26,4
70,31,Male,109780,47,1
71,40,Male,41545,86,19
72,57,Male,41689,56,8
73,38,Female,31174,94,15
74,33,Female,108461,63,15
75,35,Male,29348,48,9
76,41,Male,43714,61,9
77,43,Female,58102,81,10
78,42,Male,94460,26,20
79,58,Female,109930,36,9
80,46,Male,26801,1,3
81,32,Female,92267,8,20
82,18,Male,68136,99,11
83,42,Female,43625,52,6
84,24,Male,102873,79,2
85,26,Female,92592,47,7
